Captured On,Real-Time Temperature
1/20/2018,-11.5
1/20/2018,-14.69
1/20/2018,-11.75
1/20/2018,-14.31
1/20/2018,-12.88
1/20/2018,-12.63
1/20/2018,-15.81
1/20/2018,-11.75
1/20/2018,-3.94
1/20/2018,2.19
1/20/2018,-2.44
1/20/2018,-8.5
1/20/2018,-11.75
1/20/2018,-10.44
1/20/2018,-12.69
1/20/2018,-12.88
1/20/2018,-10.63
1/20/2018,-9.88
1/20/2018,-12.25
1/20/2018,-13.38
1/20/2018,-13.06
1/20/2018,-14.25
1/20/2018,-13.69
1/20/2018,-11.38
1/20/2018,-14
1/20/2018,-15
1/20/2018,-9.56
1/20/2018,-13.19
1/20/2018,-15.88
1/20/2018,-12.19
1/20/2018,-15.75
1/20/2018,-11.81
1/20/2018,-15.63
1/20/2018,-11.69
1/20/2018,-15.63
1/20/2018,-11.69
1/20/2018,-15.69
1/20/2018,-11.19
1/20/2018,-13.19
1/20/2018,-14.19
1/20/2018,-14.5
1/20/2018,-14.88
1/20/2018,-15.44
1/20/2018,-15.81
1/20/2018,-11.88
1/20/2018,-13.06
1/20/2018,-14.88
1/20/2018,-15.25
1/20/2018,-15.44
1/20/2018,-15.56
1/20/2018,-15.5
1/20/2018,-15.63
1/20/2018,-11.94
1/20/2018,-15.88
1/20/2018,-12.06
1/20/2018,-15.56
1/20/2018,-11.38
1/20/2018,-3.69
1/20/2018,0.94
1/20/2018,0
1/20/2018,-4.88
1/20/2018,-9.94
1/20/2018,-11.13
1/20/2018,-12.5
1/20/2018,-14.38
1/20/2018,-15.56
1/20/2018,-11.25
1/20/2018,-14.44
1/20/2018,-13.75
1/20/2018,-13.38
1/20/2018,-15.31
1/20/2018,-12.69
1/20/2018,-15.56
1/20/2018,-12.31
1/20/2018,-15.31
1/20/2018,-10.44
1/20/2018,-14.88
1/20/2018,-14.13
1/20/2018,-13.63
1/20/2018,-13.69
1/20/2018,-13.88
1/20/2018,-12.88
1/20/2018,-14.31
1/20/2018,-11.75
1/20/2018,-14.75
1/21/2018,-11.25
1/21/2018,-14.5
1/21/2018,-12.13
1/21/2018,-14.38
1/21/2018,-12
1/21/2018,-14.5
1/21/2018,-11.69
1/21/2018,-14.75
1/21/2018,-11.44
1/21/2018,-15.19
1/21/2018,-11.56
1/21/2018,-15.69
1/21/2018,-12.19
1/21/2018,-15.69
1/21/2018,-12.63
1/21/2018,-15.06
1/21/2018,-13.13
1/21/2018,-14.06
1/21/2018,-13.75
1/21/2018,-12.94
1/21/2018,-9
1/21/2018,-2
1/21/2018,-0.69
1/21/2018,-7.69
1/21/2018,-12.25
1/21/2018,-14.63
1/21/2018,-14.81
1/21/2018,-12.94
1/21/2018,-15.56
1/21/2018,-12.69
1/21/2018,-15.44
1/21/2018,-12.69
1/21/2018,-15.75
1/21/2018,-12.5
1/21/2018,-15.75
1/21/2018,-12.63
1/21/2018,-15.38
1/21/2018,-13.06
1/21/2018,-14.31
1/21/2018,-13.75
1/21/2018,-12.88
1/21/2018,-14.44
1/21/2018,-11.56
1/21/2018,-15.13
1/21/2018,-11.5
1/21/2018,-15.75
1/21/2018,-12
1/21/2018,-15.75
1/21/2018,-12.75
1/21/2018,-14.69
1/21/2018,-13.69
1/21/2018,-13.06
1/21/2018,-14.56
1/21/2018,-11.5
1/21/2018,-15.31
1/21/2018,-11.69
1/21/2018,-15.94
1/21/2018,-12.38
1/21/2018,-15.31
1/21/2018,-13.25
1/21/2018,-13.69
1/21/2018,-14.13
1/21/2018,-12.06
1/21/2018,-15.06
1/21/2018,-11.56
1/21/2018,-15.88
1/21/2018,-12.19
1/21/2018,-15.31
1/21/2018,-13.25
1/21/2018,-12.63
1/21/2018,-1.81
1/21/2018,-4.06
1/21/2018,-10.38
1/21/2018,-14
1/21/2018,-15.38
1/21/2018,-12
1/21/2018,-14.94
1/21/2018,-11.5
1/21/2018,-14.88
1/21/2018,-10.81
1/21/2018,-15.19
1/21/2018,-9.38
1/21/2018,-13.88
1/21/2018,-14.44
1/21/2018,-13.31
1/21/2018,-15.69
1/21/2018,-11.75
1/21/2018,-14.13
1/21/2018,-15.88
1/21/2018,-11.69
1/21/2018,-15.38
1/21/2018,-11.19
1/21/2018,-13.38
1/21/2018,-15.5
1/21/2018,-12.75
1/21/2018,-15.69
1/21/2018,-12.63
1/21/2018,-14.44
1/21/2018,-13.81
1/21/2018,-14.31
1/21/2018,-14.81
1/21/2018,-15
1/21/2018,-15.31
1/21/2018,-14.5
1/21/2018,-13.69
1/21/2018,-14.81
1/21/2018,-15.5
1/21/2018,-15.88
1/21/2018,-11.31
1/21/2018,-13.31
1/21/2018,-14.94
1/21/2018,-15.56
1/21/2018,-15.75
1/21/2018,-15.81
1/21/2018,-11.75
1/21/2018,-12.63
1/21/2018,-14.5
1/21/2018,-15.13
1/21/2018,-11.88
1/21/2018,-3.69
1/21/2018,1.19
1/21/2018,0.38
1/21/2018,-3.19
1/21/2018,-7
1/21/2018,-7.75
1/21/2018,-9.63
1/21/2018,-11.25
1/21/2018,-12
1/21/2018,-13.94
1/21/2018,-15.75
1/21/2018,-11.56
1/21/2018,-15.19
1/21/2018,-10.88
1/21/2018,-13.69
1/21/2018,-14.44
1/21/2018,-12.44
1/21/2018,-15.75
1/21/2018,-11.81
1/21/2018,-15.69
1/21/2018,-13.19
1/21/2018,-13.88
1/21/2018,-13.31
1/21/2018,-14
1/21/2018,-12.75
1/21/2018,-14.38
1/21/2018,-11.69
1/21/2018,-14.63
1/21/2018,-11.44
1/21/2018,-15
1/21/2018,-11.38
1/21/2018,-13.69
1/21/2018,-15.81
1/21/2018,-12.44
1/21/2018,-13.75
1/21/2018,-13.69
1/21/2018,-13.31
1/21/2018,-15.06
1/21/2018,-14
1/21/2018,-8.56
1/21/2018,-13.19
1/21/2018,-12.94
1/21/2018,-14.69
1/21/2018,-10.5
1/21/2018,-10.69
1/21/2018,-11.69
1/21/2018,-12.38
1/21/2018,-14.56
1/21/2018,-11.88
1/21/2018,-4.38
1/21/2018,0.69
1/21/2018,0.13
1/21/2018,-4
1/21/2018,-4.94
1/21/2018,-5.31
1/21/2018,-8.06
1/21/2018,-10.56
1/21/2018,-11.31
1/21/2018,-11.81
1/21/2018,-12.69
1/21/2018,-13.75
1/21/2018,-9.19
1/21/2018,-11.5
1/21/2018,-5.69
1/21/2018,-10.88
1/21/2018,-9.25
1/21/2018,-10.25
1/21/2018,-12.31
1/21/2018,-13.69
1/21/2018,-14.56
1/21/2018,-6
1/21/2018,-8.69
1/21/2018,-12.5
1/21/2018,-11.88
1/21/2018,-11.94
1/21/2018,-13.94
1/21/2018,-10.25
1/21/2018,-11.63
1/21/2018,-9.19
1/21/2018,-8.5
1/21/2018,-8.44
1/21/2018,-9.31
1/21/2018,-8.31
1/21/2018,-1
1/21/2018,-4.31
1/21/2018,-5.88
1/21/2018,-6.06
1/21/2018,-5.88
1/21/2018,-5.75
1/21/2018,-2.88
1/21/2018,-4.25
1/21/2018,-4.56
1/21/2018,-2.06
1/21/2018,-2.5
1/21/2018,-0.19
1/21/2018,-1.88
1/21/2018,-2.56
1/21/2018,-1.38
1/21/2018,1.63
1/21/2018,5.94
1/21/2018,7.81
1/21/2018,1.69
1/21/2018,-1.88
1/21/2018,-3.75
1/21/2018,-5.56
1/21/2018,-7.13
1/21/2018,-8.56
1/21/2018,-9.88
1/21/2018,-10.75
1/21/2018,-11.56
1/21/2018,-12.25
1/21/2018,-11.94
1/21/2018,-12.81
1/21/2018,-13.44
1/21/2018,-13.94
1/21/2018,-14.38
1/21/2018,-14.69
1/21/2018,-15
1/21/2018,-15.31
1/21/2018,-15.69
1/21/2018,-13.94
1/21/2018,-14.94
1/21/2018,-15.5
1/21/2018,-14
1/21/2018,-12.56
1/21/2018,-14.88
1/21/2018,-14.81
1/21/2018,-15.56
1/21/2018,-11.5
1/21/2018,-13.44
1/21/2018,-14.81
1/21/2018,-15.75
1/21/2018,-11.38
1/21/2018,-14.19
1/21/2018,-15.69
1/21/2018,-6.69
1/21/2018,-11.88
1/21/2018,-13.81
1/21/2018,-15.25
1/21/2018,-14.38
1/21/2018,-11.81
1/21/2018,-14.69
1/21/2018,-15.75
1/21/2018,-11.38
1/21/2018,-14.25
1/21/2018,-15.81
1/21/2018,-11.13
1/21/2018,-3.69
1/21/2018,0.31
1/21/2018,-5.13
1/21/2018,-9.69
1/21/2018,-12.06
1/21/2018,-12.31
1/21/2018,-12.38
1/21/2018,-6.44
1/21/2018,-11.19
1/21/2018,-13.19
1/21/2018,-12.81
1/21/2018,-14.31
1/21/2018,-15.25
1/21/2018,-13.56
1/21/2018,-13.63
1/21/2018,-12.19
1/21/2018,-12.25
1/21/2018,-11.94
1/21/2018,-11.56
1/21/2018,-11
1/21/2018,-10.69
1/21/2018,-11
1/21/2018,-12
1/21/2018,-12.94
1/21/2018,-13.25
1/21/2018,-12.75
1/21/2018,-13.25
1/21/2018,-12.63
1/22/2018,-13.13
1/22/2018,-13.31
1/22/2018,-13.44
1/22/2018,-13.19
1/22/2018,-12.94
1/22/2018,-13.56
1/22/2018,-13.13
1/22/2018,-13.56
1/22/2018,-13.81
1/22/2018,-14.13
1/22/2018,-14.31
1/22/2018,-13.13
1/22/2018,-13.88
1/22/2018,-14.31
1/22/2018,-14.69
1/22/2018,-14.94
1/22/2018,-15.19
1/22/2018,-15.38
1/22/2018,-15.56
1/22/2018,-15.81
1/22/2018,-13.38
1/22/2018,-5.56
1/22/2018,0.56
1/22/2018,1.06
1/22/2018,-3.69
1/22/2018,-8.94
1/22/2018,-11.63
1/22/2018,-13.31
1/22/2018,-14.5
1/22/2018,-15.31
1/22/2018,-12.94
1/22/2018,-13.19
1/22/2018,-15.38
1/22/2018,-11.56
1/22/2018,-13.94
1/22/2018,-15.56
1/22/2018,-12.19
1/22/2018,-15.25
1/22/2018,-11.56
1/22/2018,-14.19
1/22/2018,-14.69
1/22/2018,-12.75
1/22/2018,-15.63
1/22/2018,-11.63
1/22/2018,-14.88
1/22/2018,-12.31
1/22/2018,-13.94
1/22/2018,-14.63
1/22/2018,-12.88
1/22/2018,-15.81
1/22/2018,-11.88
1/22/2018,-15.31
1/22/2018,-11.56
1/22/2018,-14.69
1/22/2018,-12.63
1/22/2018,-13.94
1/22/2018,-14.25
1/22/2018,-13.19
1/22/2018,-15.56
1/22/2018,-12.31
1/22/2018,-15.69
1/22/2018,-11.69
1/22/2018,-15.25
1/22/2018,-11.63
1/22/2018,-14.69
1/22/2018,-12.5
1/22/2018,-14.13
1/22/2018,-13.69
1/22/2018,-13.5
1/22/2018,-12.69
1/22/2018,-4.56
1/22/2018,-2.19
1/22/2018,-9.13
1/22/2018,-12.81
1/22/2018,-12.63
1/22/2018,-14
1/22/2018,-15.38
1/22/2018,-11.31
1/22/2018,-11.81
1/22/2018,-14.56
1/22/2018,-14.44
1/22/2018,-12.94
1/22/2018,-15.75
1/22/2018,-11.94
1/22/2018,-15.31
1/22/2018,-10.75
1/22/2018,-10.63
1/22/2018,-11
1/22/2018,-14.38
1/22/2018,-14.63
1/22/2018,-12.94
1/22/2018,-15
1/22/2018,-11.13
1/22/2018,-12.44
1/22/2018,-15.19
1/22/2018,-12.06
1/22/2018,-14.06
1/22/2018,-14.56
1/22/2018,-10.88
1/22/2018,-13.94
1/22/2018,-15.88
1/22/2018,-11.88
1/22/2018,-15.25
1/22/2018,-11.56
1/22/2018,-14.44
1/22/2018,-13.44
1/22/2018,-13.75
1/22/2018,-14.44
1/22/2018,-13.13
1/22/2018,-15.5
1/22/2018,-12.63
1/22/2018,-15.88
1/22/2018,-12.06
1/22/2018,-15.81
1/22/2018,-11.75
1/22/2018,-15
1/22/2018,-11.94
1/22/2018,-14.56
1/22/2018,-13
1/22/2018,-5.13
1/22/2018,0.31
1/22/2018,-5.25
1/22/2018,-10.13
1/22/2018,-13
1/22/2018,-14.75
1/22/2018,-11.38
1/22/2018,-11.31
1/22/2018,-12.69
